id,name,name_cs
3324,"Beans, Dry, Black, 278 (0% moisture)","Fazole, suché, černé, 278 (0% vlhkost)"
3302,"Beans, Dry, Black, 282 (0% moisture)","Fazole, suché, černé, 282 (0% vlhkost)"
3352,"Beans, Dry, Black, 286 (0% moisture)","Fazole, suché, černé, 286 (0% vlhkost)"
3328,"Beans, Dry, Black, 288 (0% moisture)","Fazole, suché, černé, 288 (0% vlhkost)"
3358,"Beans, Dry, Black, 291 (0% moisture)","Fazole, suché, černé, 291 (0% vlhkost)"
3276,"Beans, Dry, Black, 296 (0% moisture)","Fazole, suché, černé, 296 (0% vlhkost)"
3354,"Beans, Dry, Black, 297 (0% moisture)","Fazole, suché, černé, 297 (0% vlhkost)"
3266,"Beans, Dry, Black, 298 (0% moisture)","Fazole, suché, černé, 298 (0% vlhkost)"
3330,"Beans, Dry, Black, 301 (0% moisture)","Fazole, suché, černé, 301 (0% vlhkost)"
3280,"Beans, Dry, Black, 303 (0% moisture)","Fazole, suché, černé, 303 (0% vlhkost)"
3286,"Beans, Dry, Black, 304 (0% moisture)","Fazole, suché, černé, 304 (0% vlhkost)"
3284,"Beans, Dry, Black, 305 (0% moisture)","Fazole, suché, černé, 305 (0% vlhkost)"
3318,"Beans, Dry, Black, 310 (0% moisture)","Fazole, suché, černé, 310 (0% vlhkost)"
3314,"Beans, Dry, Black, 314 (0% moisture)","Fazole, suché, černé, 314 (0% vlhkost)"
3356,"Beans, Dry, Black, 317 (0% moisture)","Fazole, suché, černé, 317 (0% vlhkost)"
3320,"Beans, Dry, Black, 318 (0% moisture)","Fazole, suché, černé, 318 (0% vlhkost)"
3268,"Beans, Dry, Black, 331 (0% moisture)","Fazole, suché, černé, 331 (0% vlhkost)"
3264,"Beans, Dry, Black, 348 (0% moisture)","Fazole, suché, černé, 348 (0% vlhkost)"
3334,"Beans, Dry, Black, 395 (0% moisture)","Fazole, suché, černé, 395 (0% vlhkost)"
3296,"Beans, Dry, Black, 424 (0% moisture)","Fazole, suché, černé, 424 (0% vlhkost)"
3350,"Beans, Dry, Black, 472 (0% moisture)","Fazole, suché, černé, 472 (0% vlhkost)"
3313,"Beans, Dry, Black, 522 (0% moisture)","Fazole, suché, černé, 522 (0% vlhkost)"
3289,"Beans, Dry, Black, 526 (0% moisture)","Fazole, suché, černé, 526 (0% vlhkost)"
3347,"Beans, Dry, Black, 528 (0% moisture)","Fazole, suché, černé, 528 (0% vlhkost)"
3349,"Beans, Dry, Black, 529 (0% moisture)","Fazole, suché, černé, 529 (0% vlhkost)"
3315,"Beans, Dry, Black, 531 (0% moisture)","Fazole, suché, černé, 531 (0% vlhkost)"
3267,"Beans, Dry, Black, 533 (0% moisture)","Fazole, suché, černé, 533 (0% vlhkost)"
3291,"Beans, Dry, Black, 534 (0% moisture)","Fazole, suché, černé, 534 (0% vlhkost)"
3319,"Beans, Dry, Black, 536 (0% moisture)","Fazole, suché, černé, 536 (0% vlhkost)"
3321,"Beans, Dry, Black, 537 (0% moisture)","Fazole, suché, černé, 537 (0% vlhkost)"
3295,"Beans, Dry, Black, 542 (0% moisture)","Fazole, suché, černé, 542 (0% vlhkost)"
3323,"Beans, Dry, Black, 545 (0% moisture)","Fazole, suché, černé, 545 (0% vlhkost)"
3341,"Beans, Dry, Black, 547 (0% moisture)","Fazole, suché, černé, 547 (0% vlhkost)"
3327,"Beans, Dry, Black, 550 (0% moisture)","Fazole, suché, černé, 550 (0% vlhkost)"
3325,"Beans, Dry, Black, 552 (0% moisture)","Fazole, suché, černé, 552 (0% vlhkost)"
3285,"Beans, Dry, Black, 553 (0% moisture)","Fazole, suché, černé, 553 (0% vlhkost)"
3337,"Beans, Dry, Black, 562 (0% moisture)","Fazole, suché, černé, 562 (0% vlhkost)"
3275,"Beans, Dry, Black, 566 (0% moisture)","Fazole, suché, černé, 566 (0% vlhkost)"
3299,"Beans, Dry, Black, 569 (0% moisture)","Fazole, suché, černé, 569 (0% vlhkost)"
3343,"Beans, Dry, Black, 570 (0% moisture)","Fazole, suché, černé, 570 (0% vlhkost)"
3329,"Beans, Dry, Black, 572 (0% moisture)","Fazole, suché, černé, 572 (0% vlhkost)"
3309,"Beans, Dry, Black, 573 (0% moisture)","Fazole, suché, černé, 573 (0% vlhkost)"
3359,"Beans, Dry, Black, 574 (0% moisture)","Fazole, suché, černé, 574 (0% vlhkost)"
3331,"Beans, Dry, Black, 575 (0% moisture)","Fazole, suché, černé, 575 (0% vlhkost)"
3293,"Beans, Dry, Black, 580 (0% moisture)","Fazole, suché, černé, 580 (0% vlhkost)"
3273,"Beans, Dry, Black, 583 (0% moisture)","Fazole, suché, černé, 583 (0% vlhkost)"
3301,"Beans, Dry, Black, 590 (0% moisture)","Fazole, suché, černé, 590 (vlhkost 0 %)"
3345,"Beans, Dry, Black, 592 (0% moisture)","Fazole, suché, černé, 592 (0% vlhkost)"
3353,"Beans, Dry, Black, 596 (0% moisture)","Fazole, suché, černé, 596 (0% vlhkost)"
3303,"Beans, Dry, Black, 597 (0% moisture)","Fazole, suché, černé, 597 (0% vlhkost)"
3355,"Beans, Dry, Black, 600 (0% moisture)","Fazole, suché, černé, 600 (0% vlhkost)"
3287,"Beans, Dry, Black, 601 (0% moisture)","Fazole, suché, černé, 601 (0% vlhkost)"
3283,"Beans, Dry, Black, 602 (0% moisture)","Fazole, suché, černé, 602 (0% vlhkost)"
3271,"Beans, Dry, Black, 604 (0% moisture)","Fazole, suché, černé, 604 (0% vlhkost)"
3311,"Beans, Dry, Black, 607 (0% moisture)","Fazole, suché, černé, 607 (0% vlhkost)"
3307,"Beans, Dry, Black, 608 (0% moisture)","Fazole, suché, černé, 608 (0% vlhkost)"
3333,"Beans, Dry, Black, 610 (0% moisture)","Fazole, suché, černé, 610 (0% vlhkost)"
3277,"Beans, Dry, Black, 611 (0% moisture)","Fazole, suché, černé, 611 (0% vlhkost)"
3317,"Beans, Dry, Black, 615 (0% moisture)","Fazole, suché, černé, 615 (0% vlhkost)"
3281,"Beans, Dry, Black, 617 (0% moisture)","Fazole, suché, černé, 617 (0% vlhkost)"
3305,"Beans, Dry, Black, 619 (0% moisture)","Fazole, suché, černé, 619 (0% vlhkost)"
3339,"Beans, Dry, Black, 620 (0% moisture)","Fazole, suché, černé, 620 (0% vlhkost)"
3279,"Beans, Dry, Black, 624 (0% moisture)","Fazole, suché, černé, 624 (0% vlhkost)"
3357,"Beans, Dry, Black, 625 (0% moisture)","Fazole, suché, černé, 625 (0% vlhkost)"
3336,"Beans, Dry, Black, 707 (0% moisture)","Fazole, suché, černé, 707 (0% vlhkost)"
3265,"Beans, Dry, Black, 737 (0% moisture)","Fazole, suché, černé, 737 (0% vlhkost)"
3269,"Beans, Dry, Black, 745 (0% moisture)","Fazole, suché, černé, 745 (0% vlhkost)"
3351,"Beans, Dry, Black, 753 (0% moisture)","Fazole, suché, černé, 753 (0% vlhkost)"
3298,"Beans, Dry, Black, 767 (0% moisture)","Fazole, suché, černé, 767 (0% vlhkost)"
2873,"Beans, Dry, Brown (0% moisture)","Fazole, suché, hnědé (0 % vlhkosti)"
2871,"Beans, Dry, Brown, 351 (0% moisture)","Fazole, suché, hnědé, 351 (0% vlhkost)"
2872,"Beans, Dry, Brown, 679 (0% moisture)","Fazole, suché, hnědé, 679 (0% vlhkost)"
2881,"Beans, Dry, Carioca (0% moisture)","Fazole, suché, Carioca (0 % vlhkosti)"
2877,"Beans, Dry, Carioca, 11F-8001 (0% moisture)","Fazole, suché, Carioca, 11F-8001 (0% vlhkost)"
2878,"Beans, Dry, Carioca, 11F-8104 (0% moisture)","Fazole, suché, Carioca, 11F-8104 (0% vlhkost)"
2879,"Beans, Dry, Carioca, 217 (0% moisture)","Fazole, suché, Carioca, 217 (0% vlhkost)"
2880,"Beans, Dry, Carioca, 622 (0% moisture)","Fazole, suché, Carioca, 622 (0% vlhkost)"
3230,"Beans, Dry, Cranberry (0% moisture)","Fazole, suché, brusinky (0 % vlhkosti)"
3226,"Beans, Dry, Cranberry, 11F-8022 (0% moisture)","Fazole, suché, brusinky, 11F-8022 (0% vlhkost)"
3227,"Beans, Dry, Cranberry, 11F-8131 (0% moisture)","Fazole, suché, brusinky, 11F-8131 (0% vlhkost)"
3228,"Beans, Dry, Cranberry, 378 (0% moisture)","Fazole, suché, brusinky, 378 (0% vlhkost)"
3229,"Beans, Dry, Cranberry, 750 (0% moisture)","Fazole, suché, brusinky, 750 (0% vlhkost)"
2693,"Beans, Dry, Dark Red Kidney (0% moisture)","Fazole, suché, tmavě červené ledviny (0% vlhkost)"
2691,"Beans, Dry, Dark Red Kidney, 11F-8040 (0% moisture)","Fazole, suché, tmavě červené ledviny, 11F-8040 (0% vlhkost)"
2689,"Beans, Dry, Dark Red Kidney, 11F-8074 (0% moisture)","Fazole, suché, tmavě červené ledviny, 11F-8074 (0% vlhkost)"
2690,"Beans, Dry, Dark Red Kidney, 11F-8130 (0% moisture)","Fazole, suché, tmavě červené ledviny, 11F-8130 (0% vlhkost)"
2692,"Beans, Dry, Dark Red Kidney, 11F-8132 (0% moisture)","Fazole, suché, tmavě červené ledviny, 11F-8132 (0% vlhkost)"
2876,"Beans, Dry, Flor de Mayo (0% moisture)","Fazole, suché, Flor de Mayo (0 % vlhkosti)"
2874,"Beans, Dry, Flor de Mayo, 443 (0% moisture)","Fazole, suché, Flor de Mayo, 443 (0% vlhkost)"
2875,"Beans, Dry, Flor de Mayo, 823 (0% moisture)","Fazole, suché, Flor de Mayo, 823 (0% vlhkost)"
3515,"Beans, Dry, Great Northern (0% moisture)","Fazole, suché, severní (0 % vlhkosti)"
3409,"Beans, Dry, Great Northern, 11F-8008 (0% moisture)","Fazole, suché, Great Northern, 11F-8008 (0% vlhkost)"
3403,"Beans, Dry, Great Northern, 11F-8010 (0% moisture)","Fazole, suché, Great Northern, 11F-8010 (0% vlhkost)"
3385,"Beans, Dry, Great Northern, 11F-8025 (0% moisture)","Fazole, suché, Great Northern, 11F-8025 (0% vlhkost)"
3393,"Beans, Dry, Great Northern, 11F-8051 (0% moisture)","Fazole, suché, Great Northern, 11F-8051 (0% vlhkost)"
3391,"Beans, Dry, Great Northern, 11F-8052 (0% moisture)","Fazole, suché, Great Northern, 11F-8052 (0% vlhkost)"
3389,"Beans, Dry, Great Northern, 11F-8053 (0% moisture)","Fazole, suché, Great Northern, 11F-8053 (0% vlhkost)"
3397,"Beans, Dry, Great Northern, 11F-8060 (0% moisture)","Fazole, suché, Great Northern, 11F-8060 (0% vlhkost)"
3379,"Beans, Dry, Great Northern, 11F-8063 (0% moisture)","Fazole, suché, Great Northern, 11F-8063 (0% vlhkost)"
3407,"Beans, Dry, Great Northern, 11F-8067 (0% moisture)","Fazole, suché, Great Northern, 11F-8067 (0% vlhkost)"
3405,"Beans, Dry, Great Northern, 11F-8068 (0% moisture)","Fazole, suché, Great Northern, 11F-8068 (0% vlhkost)"
3413,"Beans, Dry, Great Northern, 11F-8077 (0% moisture)","Fazole, suché, Great Northern, 11F-8077 (0% vlhkost)"
3401,"Beans, Dry, Great Northern, 11F-8085 (0% moisture)","Fazole, suché, Great Northern, 11F-8085 (0% vlhkost)"
3383,"Beans, Dry, Great Northern, 11F-8087 (0% moisture)","Fazole, suché, Great Northern, 11F-8087 (0% vlhkost)"
3399,"Beans, Dry, Great Northern, 11F-8090 (0% moisture)","Fazole, suché, Great Northern, 11F-8090 (0% vlhkost)"
3411,"Beans, Dry, Great Northern, 11F-8092 (0% moisture)","Fazole, suché, Great Northern, 11F-8092 (0% vlhkost)"
3395,"Beans, Dry, Great Northern, 11F-8093 (0% moisture)","Fazole, suché, Great Northern, 11F-8093 (0% vlhkost)"
3387,"Beans, Dry, Great Northern, 11F-8097 (0% moisture)","Fazole, suché, Great Northern, 11F-8097 (0% vlhkost)"
3396,"Beans, Dry, Great Northern, 11F-8110 (0% moisture)","Fazole, suché, Great Northern, 11F-8110 (0% vlhkost)"
3394,"Beans, Dry, Great Northern, 11F-8113 (0% moisture)","Fazole, suché, Great Northern, 11F-8113 (0% vlhkost)"
3408,"Beans, Dry, Great Northern, 11F-8125 (0% moisture)","Fazole, suché, Great Northern, 11F-8125 (0% vlhkost)"
3380,"Beans, Dry, Great Northern, 11F-8128 (0% moisture)","Fazole, suché, Great Northern, 11F-8128 (0% vlhkost)"
3392,"Beans, Dry, Great Northern, 11F-8134 (0% moisture)","Fazole, suché, Great Northern, 11F-8134 (0% vlhkost)"
3412,"Beans, Dry, Great Northern, 11F-8138 (0% moisture)","Fazole, suché, Great Northern, 11F-8138 (0% vlhkost)"
3414,"Beans, Dry, Great Northern, 11F-8139 (0% moisture)","Fazole, suché, Great Northern, 11F-8139 (0% vlhkost)"
3386,"Beans, Dry, Great Northern, 11F-8141 (0% moisture)","Fazole, suché, Great Northern, 11F-8141 (0% vlhkost)"
3384,"Beans, Dry, Great Northern, 11F-8145 (0% moisture)","Fazole, suché, Great Northern, 11F-8145 (0% vlhkost)"
3400,"Beans, Dry, Great Northern, 11F-8152 (0% moisture)","Fazole, suché, Great Northern, 11F-8152 (0% vlhkost)"
3390,"Beans, Dry, Great Northern, 11F-8155 (0% moisture)","Fazole, suché, Great Northern, 11F-8155 (0% vlhkost)"
3381,"Beans, Dry, Great Northern, 11F-8163 (0% moisture)","Fazole, suché, Great Northern, 11F-8163 (0% vlhkost)"
3410,"Beans, Dry, Great Northern, 11F-8171 (0% moisture)","Fazole, suché, Great Northern, 11F-8171 (0% vlhkost)"
3406,"Beans, Dry, Great Northern, 11F-8172 (0% moisture)","Fazole, suché, Great Northern, 11F-8172 (0% vlhkost)"
3398,"Beans, Dry, Great Northern, 11F-8184 (0% moisture)","Fazole, suché, Great Northern, 11F-8184 (0% vlhkost)"
3404,"Beans, Dry, Great Northern, 11F-8185 (0% moisture)","Fazole, suché, Great Northern, 11F-8185 (0% vlhkost)"
3402,"Beans, Dry, Great Northern, 11F-8192 (0% moisture)","Fazole, suché, Great Northern, 11F-8192 (0% vlhkost)"
3388,"Beans, Dry, Great Northern, 11F-8194 (0% moisture)","Fazole, suché, Great Northern, 11F-8194 (0% vlhkost)"
3419,"Beans, Dry, Great Northern, 235 (0% moisture)","Fazole, suché, severní, 235 (vlhkost 0 %)"
3475,"Beans, Dry, Great Northern, 293 (0% moisture)","Fazole, suché, severní, 293 (vlhkost 0 %)"
3421,"Beans, Dry, Great Northern, 306 (0% moisture)","Fazole, suché, Great Northern, 306 (0% vlhkost)"
3425,"Beans, Dry, Great Northern, 315 (0% moisture)","Fazole, suché, severní, 315 (vlhkost 0 %)"
